URL;Titulo;Enlace;Copete;Seccion
https://www.infobae.com/;Lo último en oncología 2023: en cada vez más tumores, el cáncer se ha transformado en una enfermedad crónica;https://www.infobae.com//america/ciencia-america/2023/06/04/lo-ultimo-en-oncologia-2023-en-cada-vez-mas-tumores-el-cancer-se-ha-transformado-en-una-enfermedad-cronica/;Infobae visitó el Congreso mundial de oncología clínica, ASCO 2023, en la ciudad de Chicago, Estados Unidos, organizado por la Sociedad Americana de Oncología Clínica. Considerado un verdadero mundial del cáncer, aquí las últimas noticias: tratamientos personalizados, cronicidad y nuevas terapias innovadoras que se combinarán con las estandarizadas;Ciencia
https://www.infobae.com/;Crecen la movilizaciones contra la dictadura de Miguel Díaz-Canel en Cuba: se registraron casi 400 protestas en mayo;https://www.infobae.com//america/america-latina/2023/06/04/crece-la-movilizacion-contra-la-dictadura-de-miguel-diaz-canel-en-cuba-se-registraron-casi-400-protestas-en-mayo/;El Observatorio Cubano de Conflictos realizó un balance de las manifestaciones callejeras del mes pasado;América Latina
https://www.infobae.com/;A 34 años de la masacre de Tiananmén: paso a paso, cómo fue la brutal matanza perpetrada por el régimen chino;https://www.infobae.com//america/mundo/2023/06/04/a-34-anos-de-la-masacre-de-tiananmen-paso-a-paso-como-fue-la-brutal-matanza-perpetrada-por-el-regimen-chino/;En la madrugada del 4 de junio de 1989, tropas del Ejército Popular de Liberación entraron con tanques a la icónica explanada de Beijing y dispararon con rifles de asalto a la multitud que protestaba allí desde el 15 de abril para pedir reformas democráticas. Miles de estudiantes fueron asesinados. INFOGRAFÍA;Mundo
https://www.infobae.com/;El régimen de China arrestó a una destacada activista prodemocracia en Hong Kong en el 34º aniversario de la Masacre de Tiananmén;https://www.infobae.com//america/mundo/2023/06/04/el-regimen-de-china-arresto-a-una-destacada-activista-prodemocracia-en-hong-kong-en-el-34-aniversario-de-la-masacre-de-tiananmen/;Alexandra Wong fue interceptada por la policía en el barrio de Causeway Bay. La metieron en una furgoneta junto a otras cinco personas y se la llevaron. NO se conoce su paradero ni siu estado de salud;Mundo
https://www.infobae.com/;EEUU denunció que un buque chino maniobró de forma peligrosa cerca de su navío USS Chung-Hoon en el estrecho de Taiwán;https://www.infobae.com//estados-unidos/2023/06/04/eeuu-denuncio-que-un-buque-chino-maniobro-de-forma-peligrosa-cerca-de-uno-de-sus-navios-en-el-estrecho-de-taiwan/;El Comando Indo-Pacífico de Washington aseguró que las acciones del régimen de Xi Jinping pusieron en peligro la tripulación de la embarcación que tuvo que reducir su velocidad para evitar una posible colisión;Estados Unidos
https://www.infobae.com/;El largo camino de una periodista por revelar las irregularides en los Tribunales de Protección Infantil: diez casos aterradores;https://www.infobae.com//venezuela/2023/06/04/el-largo-camino-de-una-periodista-por-revelar-las-irregularides-en-los-tribunales-de-proteccion-infantil-diez-casos-aterradores/;"Karla Salcedo Flores denuncia el negocio que hay con los niños por parte de un grupo de Jueces, fiscales, consejeros y varios bufetes de abogados, que cobran entre 30 y 60 mil dólares por cada caso; el que paga se queda con el menor sea familia o personas ajenas";Venezuela
https://www.infobae.com/;Doce personas murieron al sureste de Venezuela tras el colapso de una mina de oro;https://www.infobae.com//venezuela/2023/06/04/doce-personas-murieron-asfixiadas-al-sureste-de-venezuela-tras-el-colapso-de-una-mina-de-oro/;El incidente ocurrió en El Callao. El secretario de Seguridad Ciudadana, Edgar Colina Reyes, informó que los cuerpos recuperados, una vez identificados por sus familiares, serán trasladados a cementerios cercanos debido al avanzado estado de descomposición;Venezuela
https://www.infobae.com/;Angelina Jolie: el sicario que contrató para que la matara, sus peligrosas adicciones y el Stone que lloró por ella;https://www.infobae.com//historias/2023/06/04/angelina-jolie-el-sicario-que-contrato-para-que-la-matara-sus-peligrosas-adicciones-y-el-stone-que-lloro-por-ella/;La actriz norteamericana hoy cumple 48 años. Su indiscutible belleza no fue de ayuda a la hora de sufrir desórdenes alimenticios, depresiones y peligrosos coqueteos con las drogas y la muerte. Los hombres más deseados del planeta cayeron a sus pies. Su peligrosa fascinación por los cuchillos, sus operaciones preventivas contra el cáncer y el violento divorcio con Brad Pitt;Historias
https://www.infobae.com/;Una investigación documentó cómo Daniel Ortega busca la “aniquilación” de la Iglesia Católica en Nicaragua;https://www.infobae.com//america/america-latina/2023/06/04/una-investigacion-documento-como-daniel-ortega-busca-la-aniquilacion-de-la-iglesia-catolica-en-nicaragua/;Infobae dialogó con Martha Patricia Molina, quien registró  529 agresiones contra el culto y sus prelados en los últimos cinco años;América Latina
https://www.infobae.com/;Esto es Ucrania: escenas de la vida cotidiana trastocadas por la guerra y la lluvia de misiles;https://www.infobae.com//america/mundo/2023/06/04/esto-es-ucrania-escenas-de-la-vida-cotidiana-trastocadas-por-la-guerra-y-la-lluvia-de-misiles/;Las sirenas que alertan de posibles bombardeos suenan constantemente en Kiev y Kharkiv. Los ucranianos atraviesan el miedo todos los días, logran salir del estado de trauma en minutos y se aferran a la esperanza;Mundo
https://www.infobae.com/;Comenzó la contraofensiva ucraniana con una inesperada expansión de la guerra al territorio ruso;https://www.infobae.com//america/mundo/2023/06/04/comenzo-la-contraofensiva-ucraniana-con-una-inesperada-expansion-de-la-guerra-al-territorio-ruso/;La región fronteriza de Belgorod lleva días bajo los ataques de los rusos pro-ucranianos. Los analistas militares creen que es parte de una gran operación para encerrar a las fuerzas rusas en su propia región mientras avanzan para cortar la línea de suministro que viene desde Crimea;Mundo
https://www.infobae.com/;El drama de un padre ucraniano que encontró a su hija de dos años muerta entre los escombros tras un bombardeo ruso;https://www.infobae.com//america/mundo/2023/06/04/el-drama-de-un-padre-ucraniano-que-encontro-a-su-hija-de-dos-anos-muerta-entre-los-escombros-tras-un-bombardeo-ruso/;Luego del ataque en la ciudad de Dnipro, el presidente Zelensky informó que al menos 500 niños han sido asesinados desde el inicio de la invasión rusa;Mundo
https://www.infobae.com/;Por la tecnología y el cambio climático, Europa atraviesa una racha de energía regalada;https://www.infobae.com//economia/2023/06/04/cuando-calienta-sol-aqui-en-la-haya-por-la-tecnologia-y-el-cambio-climatico-europa-atraviesa-una-racha-de-energia-regalada/;El veloz crecimiento de la generación solar, los deshielos y la rigidez de la producción nuclear llevaron a varios días de precios negativos, antes de comenzar el verano. El 2023 será el primer año de la historia en que la inversión global en energía solar supere a la petrolera;Economía
https://www.infobae.com/;Lanzamiento de la Nasa y Space X a la estación espacial internacional, así puede verlo en vivo: fecha y horario;https://www.infobae.com//tecno/2023/06/04/en-vivo-lanzamiento-de-la-nasa-y-space-x-a-la-estacion-espacial-internacional-fecha-y-horario/;La capsula Dragon entregará alimentos y equipos a la tripulación y todos los datos se usarán en la Tierra para investigaciones;Tecno
https://www.infobae.com/;Diez inventos de la NASA que revolucionaron el mundo;https://www.infobae.com//america/ciencia-america/2023/06/04/los-10-inventos-que-usamos-a-diario-y-que-fueron-ideados-por-la-nasa/;Son de uso cotidiano, nos ayudan y simplifican las tareas y nunca nos imaginamos que fueron probados primero por astronautas a miles de kilómetros fuera de la Tierra;Ciencia
https://www.infobae.com/;El final de la “Bestia Rubia”, el cruel jefe de la Gestapo: una pistola trabada y el error que le costó la vida;https://www.infobae.com//sociedad/2023/06/04/el-final-de-la-bestia-rubia-el-cruel-jefe-de-la-gestapo-una-pistola-trabada-y-el-error-que-le-costo-la-vida/;El 4 de junio de 1942 Reinhard Heydrich, uno de los hombres más poderosos del nazismo que era señalado como el sucesor de Hitler, sufría un atentado. Se lo conocía como el Carnicero de Praga, lo llamaban el Verdugo, pero él prefería el apodo que le había dado el propio  Führer: El hombre con corazón de hierro. La represalia por su muerte fue feroz;Sociedad
https://www.infobae.com/;La increíble vida del estafador que vendió 4500 veces el Puente de Brooklyn y la Estatua de la Libertad;https://www.infobae.com//historias/2023/06/04/la-increible-vida-del-estafador-que-vendio-4500-veces-el-puente-de-brooklyn-y-la-estatua-de-la-libertad/;George C. Parker cometió las estafas más resonantes de la historia de Nueva York, vendió cientos de veces sus grandes monumentos. Usó identidades falsas, se hizo pasar por el nieto de un prócer y escapó de un juzgado disfrazado de policía. Su captura y sus días en la cárcel de Sing Sing, donde fascinó a los guardias con sus historias;Historias
https://www.infobae.com/;Brasil busca crear una alianza antiliberal y antinorteamericana con regímenes de izquierda latinoamericanos y otros rivales de EEUU;https://www.infobae.com//america/america-latina/2023/06/04/brasil-busca-crear-un-alianza-antiliberal-y-antinorteamericana-con-regimenes-de-izquierda-latinoamericanos-y-otros-rivales-de-eeuu/;Lula extendió la alfombra roja en Brasilia al dictador venezolano Nicolás Maduro e intentó relanzar la fallida alianza de la Unasur. La jugada se concretó después de su viaje a China, de recibir al canciller de Putin y de permitir buques iraníes en Río de Janeiro;América Latina
https://www.infobae.com/;Una es error, dos casualidad, tres un curso de acción: Lula entre Mandela y la realpolitik anti EEUU;https://www.infobae.com//america/opinion/2023/06/04/una-es-error-dos-casualidad-tres-un-curso-de-accion-lula-entre-mandela-y-la-realpolitik-anti-eeuu/;¿Qué busca el mandatario brasileño con su acercamiento a China y su apuesta por la integración regional?;Opinión
https://www.infobae.com/;El fracaso de Lula, de la UNASUR y un golpe histórico a las dictaduras castrochavistas;https://www.infobae.com//america/opinion/2023/06/04/el-fracaso-de-lula-de-la-unasur-y-un-golpe-historico-a-las-dictaduras-castrochavistas/;El brasileño intentó lavar la imagen de Nicolás Maduro pero no lo logró;Opinión
https://www.infobae.com/;Espionaje, persecución y propaganda: un nuevo libro ilumina el lado oscuro del gobierno de Rafael Correa;https://www.infobae.com//america/america-latina/2023/06/04/espionaje-persecucion-y-propaganda-un-nuevo-libro-ilumina-el-lado-oscuro-del-gobierno-de-rafael-correa/;“La Revolución Malograda” reconstruye las alianzas con militares, la construcción de un relato desde los textos escolares y el entramado de corrupción durante una década en el poder de Ecuador;América Latina
https://www.infobae.com/;El Secretario de Defensa norteamericano afirmó que EEUU “no tolerará la coerción ni el bullying de China”;https://www.infobae.com//estados-unidos/2023/06/03/el-secretario-de-defensa-norteamericano-afirmo-que-eeuu-no-tolerara-la-coercion-ni-el-bullying-de-china/;Lloyd Austin advirtió en el Diálogo de Shangri-La, un foro anual que reúne en Singapur a altos funcionarios de defensa, diplomáticos y líderes, que Washington respaldará a sus aliados y socios frente a las intimidaciones del régimen de Xi Jinping;Estados Unidos
https://www.infobae.com/;Las estrellas que decidieron no tener hijos y sus explicaciones sobre esa decisión que desafía clichés;https://www.infobae.com//entretenimiento/2023/06/04/las-estrellas-que-decidieron-no-tener-hijos-y-sus-explicaciones-sobre-esa-decision-que-desafia-cliches/;Desde Helen Mirren a Keanu Reeves y el chileno Pedro Pascal, algunas figuras de Hollywood han explicado públicamente las razones de esa profunda decisión personal;Entretenimiento
https://www.infobae.com/;WWDC23: Tres anuncios que Apple dará en su encuentro con desarrolladores;https://www.infobae.com//tecno/2023/06/04/wwdc23-tres-anuncios-que-apple-dara-en-su-encuentro-con-desarrolladores/;Las gafas de realidad mixta serán las protagonistas del keynote en el evento de la compañía;Tecno
https://www.infobae.com/;El Marco Aurelio venezolano;https://www.infobae.com//america/opinion/2023/06/04/el-marco-aurelio-venezolano/;Nicolás Maduro busca popularidad en el extranjero en lugar de en su propio país. Regala, despilfarra y perdona deudas a las naciones más pobres, mientras somete a su propia gente a la penuria;Opinión
https://www.infobae.com/;El aumento de los cortes de luz en Venezuela reaviva el temor a un apagón general;https://www.infobae.com//venezuela/2023/06/04/el-aumento-de-los-cortes-de-luz-en-venezuela-reaviva-el-temor-a-un-apagon-general/;El Comité de Afectados por Apagones ha registrado un crecimiento continuado en el número de fallas, pasando de 3.296 cortes en enero a 10.013 en el mes de mayo;Venezuela
https://www.infobae.com/;Grupos chavistas atacaron al líder opositor Henrique Capriles durante una visita al interior de Venezuela;https://www.infobae.com//venezuela/2023/06/03/grupos-chavistas-agredieron-a-golpes-al-lider-opositor-henrique-capriles-durante-una-visita-al-interior-venezuela/;El dirigente aseguró que los atacantes fueron enviados por el dictador venezolano, Nicolás Maduro, y por el gobernador de Carabobo, Rafael Lacava, para “sabotear” la actividad;Venezuela
https://www.infobae.com/;“No es malo, no es malo”: la graciosa entrevista en español de Djokovic tras ganarle al peruano Varillas y avanzar en Roland Garros;https://www.infobae.com//deportes/2023/06/04/no-es-malo-no-es-malo-la-graciosa-entrevista-en-espanol-de-djokovic-tras-ganarle-al-peruano-varillas-y-avanzar-en-roland-garros/;El serbio se impuso por 6-3, 6-2 y 6-2 ante el sudamericano y aprovechó para demostrar su dominio del idioma en una simpática conversación;Deportes
https://www.infobae.com/;Tras la despedida de Lionel Messi, el PSG inició gestiones con un nuevo entrenador;https://www.infobae.com//deportes/2023/06/04/tras-la-despedida-de-lionel-messi-el-psg-inicio-gestiones-con-un-nuevo-entrenador/;Aunque le queda un año de contrato, Christophe Galtier no seguirá en el banco de suplentes. Y la dirigencia ya formalizó negociaciones con un nuevo director técnico;Deportes
https://www.infobae.com/;Benzema se va del Real Madrid: se marcha el artista que enamoró a Florentino Pérez;https://www.infobae.com//espana/2023/06/04/benzema-se-marcha-del-real-madrid/;El francés, que ha aceptado la millonaria propuesta de Arabia Saudí, se despedirá este domingo del Santiago Bernabéu tras 14 años y 25 títulos. Muchas veces cuestionado por la opinión pública, con Karim se va el delantero que antepuso el juego a los goles, un virtuoso que llegó a su cenit la temporada pasada con una Champions que, como él, es historia del Madrid;España
https://www.infobae.com/;De Shakira a Mbappé, Neymar y Nicki Nicole: las celebridades en el Gran Premio de España de la Fórmula 1;https://www.infobae.com//deportes/2023/06/04/de-shakira-a-mbappe-neymar-y-nicki-nicole-las-celebridades-en-el-gran-premio-de-espana-de-la-formula-1/;Figuras del ámbito artístico y futbolístico estuvieron presentes en el Circuito de Catalunya, donde Max Verstappen y Red Bull volvieron a aplastar;Deportes
https://www.infobae.com/;Quiénes serían los posibles reemplazantes de Benzema tras su salida del Real Madrid;https://www.infobae.com//deportes/2023/06/04/quienes-serian-los-posibles-reemplazantes-de-benzema-tras-su-salida-del-real-madrid/;El futbolista francés dejó la Casa Blanca tras 14 temporadas y una cosecha de 25 títulos;Deportes
https://www.infobae.com/;Aplastante triunfo de Max Verstappen y Red Bull en el Gran Premio de España de la Fórmula 1;https://www.infobae.com//deportes/2023/06/04/aplastante-triunfo-de-max-verstappen-y-red-bull-en-el-gran-premio-de-espana-de-la-formula-1/;El bicampeón mundial logró su quinta victoria en siete fechas y se aleja en la vanguardia del campeonato. El podio lo completaron los pilotos de Mercedes, Lewis Hamilton y George Russell;Deportes
https://www.infobae.com/;Prime Video en junio: “Jack Ryan”, “Barrabrava”, “Calle y Poché: Sin Etiquetas” y más;https://www.infobae.com//que-puedo-ver/2023/06/04/prime-video-en-junio-jack-ryan-barrabrava-calle-y-poche-sin-etiquetas-y-mas/;Series, películas y más contenido nuevo que llegará al servicio de streaming de Amazon en las próximas semanas;Qué puedo ver
https://www.infobae.com/;Mark Hamill está listo para dejar a su icónico personaje “Star Wars”: otras películas para ver al reconocido actor en streaming;https://www.infobae.com//que-puedo-ver/2023/06/04/mark-hamill-esta-listo-para-dejar-a-su-iconico-personaje-star-wars-otras-peliculas-para-ver-al-reconocido-actor-en-streaming/;En una reciente entrevista, el actor detalló que es momento de guardar su túnica de Jedi;Qué puedo ver
https://www.infobae.com/;“Ahsoka” muestra nueva imagen previo a su estreno en Disney+;https://www.infobae.com//que-puedo-ver/2023/06/04/ahsoka-muestra-nueva-imagen-previo-a-su-estreno-en-disney/;La serie protagonizada por Rosario Dawson llegará a la plataforma de streaming en agosto próximo;Qué puedo ver
https://www.infobae.com/;Cuidar la salud digestiva y la microbiota, ¿la forma menos pensada de preservar la fertilidad?;https://www.infobae.com//salud/2023/06/04/cuidar-la-salud-digestiva-y-la-microbiota-la-forma-menos-pensada-de-preservar-la-fertilidad/;Los profesionales de la salud de todas las especialidades reconocen la importancia del cuidado integral de la salud. De qué manera una dieta antiinflamatoria, el ejercicio físico y la buena gestión del estrés favorece la salud reproductiva. En el Día Mundial de la Fertilidad, el testimonio de una mujer que cambió sus hábitos y logró el ansiado embarazo;Salud
https://www.infobae.com/;Biomarcadores de Alzheimer: cuáles son los últimos hallazgos que podrían impulsar un diagnóstico precoz;https://www.infobae.com//salud/2023/06/04/biomarcadores-de-alzheimer-cuales-son-los-ultimos-hallazgos-que-podrian-impulsar-un-diagnostico-precoz/;Al ser una patología que no tiene cura, la ciencia busca avanzar en hallazgos que permitan predecir su aparición y lograr tratamientos que desaceleren su evolución. El análisis de los especialistas a Infobae;Salud
